level,num_queries,size
0,1,2
1,1,2
2,0,2
3,0,2
4,0,2
5,0,2
0,1,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
0,1,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
0,1,2
1,5,2
2,8,2
3,8,2
4,8,2
5,8,2
0,1,2
1,5,2
2,8,2
3,8,2
4,8,2
5,8,2
0,1,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
0,1,1
1,1,1
2,1,1
3,1,1
4,0,1
5,0,1
0,1,12
1,35,12
2,544,12
3,5015,12
4,30965,12
5,137344,12
0,1,4
1,10,4
2,41,4
3,96,4
4,160,4
5,222,4
0,1,4
1,10,4
2,33,4
3,40,4
4,16,4
5,0,4
0,1,9
1,29,9
2,360,9
3,2564,9
4,11987,9
5,40334,9
0,1,3
1,6,3
2,14,3
3,22,3
4,30,3
5,37,3
0,1,7
1,19,7
2,132,7
3,452,7
4,1026,7
5,1822,7
0,1,7
1,19,7
2,132,7
3,452,7
4,1026,7
5,1822,7
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,0,1
0,1,7
1,18,7
2,137,7
3,596,7
4,1726,7
5,3723,7
0,1,5
1,15,5
2,88,5
3,279,5
4,599,5
5,978,5
0,1,10
1,30,10
2,404,10
3,3286,10
4,18360,10
5,76176,10
0,1,5
1,11,5
2,50,5
3,127,5
4,214,5
5,278,5
0,1,15
1,48,15
2,1068,15
3,14714,15
4,141670,15
5,1021636,15
0,1,9
1,24,9
2,286,9
3,2122,9
4,10609,9
5,37563,9
0,1,7
1,14,7
2,85,7
3,300,7
4,707,7
5,1233,7
0,1,10
1,31,10
2,431,10
3,3609,10
4,20679,10
5,87649,10
0,1,5
1,12,5
2,62,5
3,189,5
4,404,5
5,690,5
0,1,10
1,25,10
2,284,10
3,1976,10
4,9620,10
5,35588,10
0,1,9
1,27,9
2,328,9
3,2402,9
4,12037,9
5,44621,9
0,1,14
1,44,14
2,894,14
3,11228,14
4,98518,14
5,647817,14
0,1,9
1,23,9
2,239,9
3,1513,9
4,6670,9
5,22273,9
0,1,17
1,49,17
2,1138,17
3,16724,17
4,175283,17
5,1400937,17
0,1,11
1,28,11
2,360,11
3,2845,11
4,15643,11
5,64393,11
0,1,4
1,8,4
2,27,4
3,57,4
4,95,4
5,139,4
0,1,19
1,50,19
2,1190,19
3,17988,19
4,194488,19
5,1606718,19
0,1,2
1,11,2
2,10,2
3,0,2
4,0,2
5,0,2
0,1,7
1,18,7
2,141,7
3,656,7
4,2109,7
5,5177,7
